-3.14159265358979,-40
-3.14143557395711,-40
-3.14127849432443,-40
-3.14112141469175,-40
-3.14096433505908,-40
-3.1408072554264,-40
-3.14065017579372,-40
-3.14049309616104,-40
-3.14033601652836,-40
-3.14017893689568,-40
-3.140021857263,-40
-3.13986477763032,-40
-3.13970769799764,-40
-3.13955061836496,-40
-3.13939353873228,-40
-3.1392364590996,-40
-3.13907937946692,-40
-3.13892229983424,-40
-3.13876522020156,-40
-3.13860814056888,-40
-3.1384510609362,-40
-3.13829398130352,-40
-3.13813690167084,-40
-3.13797982203816,-40
-3.13782274240549,-40
-3.13766566277281,-40
-3.13750858314013,-40
-3.13735150350745,-40
-3.13719442387477,-40
-3.13703734424209,-40
-3.13688026460941,-40
-3.13672318497673,-40
-3.13656610534405,-40
-3.13640902571137,-40
-3.13625194607869,-40
-3.13609486644601,-40
-3.13593778681333,-40
-3.13578070718065,-40
-3.13562362754797,-40
-3.13546654791529,-40
-3.13530946828261,-40
-3.13515238864993,-40
-3.13499530901725,-40
-3.13483822938458,-40
-3.1346811497519,-40
-3.13452407011922,-40
-3.13436699048654,-40
-3.13420991085386,-40
-3.13405283122118,-40
-3.1338957515885,-40
-3.13373867195582,-40
-3.13358159232314,-40
-3.13342451269046,-40
-3.13326743305778,-40
-3.1331103534251,-40
-3.13295327379242,-40
-3.13279619415974,-40
-3.13263911452706,-40
-3.13248203489438,-40
-3.1323249552617,-40
-3.13216787562902,-40
-3.13201079599634,-40
-3.13185371636366,-40
-3.13169663673099,-40
-3.13153955709831,-40
-3.13138247746563,-40
-3.13122539783295,-40
-3.13106831820027,-40
-3.13091123856759,-40
-3.13075415893491,-40
-3.13059707930223,-40
-3.13043999966955,-40
-3.13028292003687,-40
-3.13012584040419,-40
-3.12996876077151,-40
-3.12981168113883,-40
-3.12965460150615,-40
-3.12949752187347,-40
-3.12934044224079,-40
-3.12918336260811,-40
-3.12902628297543,-40
-3.12886920334275,-40
-3.12871212371007,-40
-3.1285550440774,-40
-3.12839796444472,-40
-3.12824088481204,-40
-3.12808380517936,-40
-3.12792672554668,-40
-3.127769645914,-40
-3.12761256628132,-40
-3.12745548664864,-40
-3.12729840701596,-40
-3.12714132738328,-40
-3.1269842477506,-40
-3.12682716811792,-40
-3.12667008848524,-40
-3.12651300885256,-40
-3.12635592921988,-40
-3.1261988495872,-40
-3.12604176995452,-40
-3.12588469032184,-40
-3.12572761068916,-40
-3.12557053105649,-40
-3.12541345142381,-40
-3.12525637179113,-40
-3.12509929215845,-40
-3.12494221252577,-40
-3.12478513289309,-40
-3.12462805326041,-40
-3.12447097362773,-40
-3.12431389399505,-40
-3.12415681436237,-40
-3.12399973472969,-40
-3.12384265509701,-40
-3.12368557546433,-40
-3.12352849583165,-40
-3.12337141619897,-40
-3.12321433656629,-40
-3.12305725693361,-40
-3.12290017730093,-40
-3.12274309766825,-40
-3.12258601803557,-40
-3.1224289384029,-40
-3.12227185877022,-40
-3.12211477913754,-40
-3.12195769950486,-40
-3.12180061987218,-40
-3.1216435402395,-40
-3.12148646060682,-40
-3.12132938097414,-40
-3.12117230134146,-40
-3.12101522170878,-40
-3.1208581420761,-40
-3.12070106244342,-40
-3.12054398281074,-40
-3.12038690317806,-40
-3.12022982354538,-40
-3.1200727439127,-40
-3.11991566428002,-40
-3.11975858464734,-40
-3.11960150501466,-40
-3.11944442538199,-40
-3.11928734574931,-40
-3.11913026611663,-40
-3.11897318648395,-40
-3.11881610685127,-40
-3.11865902721859,-40
-3.11850194758591,-40
-3.11834486795323,-40
-3.11818778832055,-40
-3.11803070868787,-40
-3.11787362905519,-40
-3.11771654942251,-40
-3.11755946978983,-40
-3.11740239015715,-40
-3.11724531052447,-40
-3.11708823089179,-40
-3.11693115125911,-40
-3.11677407162643,-40
-3.11661699199375,-40
-3.11645991236107,-40
-3.1163028327284,-40
-3.11614575309572,-40
-3.11598867346304,-40
-3.11583159383036,-40
-3.11567451419768,-40
-3.115517434565,-40
-3.11536035493232,-40
-3.11520327529964,-40
-3.11504619566696,-40
-3.11488911603428,-40
-3.1147320364016,-40
-3.11457495676892,-40
-3.11441787713624,-40
-3.11426079750356,-40
-3.11410371787088,-40
-3.1139466382382,-40
-3.11378955860552,-40
-3.11363247897284,-40
-3.11347539934016,-40
-3.11331831970748,-40
-3.11316124007481,-40
-3.11300416044213,-40
-3.11284708080945,-40
-3.11269000117677,-40
-3.11253292154409,-40
-3.11237584191141,-40
-3.11221876227873,-40
-3.11206168264605,-40
-3.11190460301337,-40
-3.11174752338069,-40
-3.11159044374801,-40
